wav,TE0,TE1,ref,TE0 Norm,TE1 Norm,Sum,,,
1520,-45.49841309,-47.74584198,-42.39553958,-3.10287351,-5.350302404,-1.072504118,,1.84537,1.84537
1520.01,-45.49841309,-47.74584198,-42.39553958,-3.10287351,-5.350302404,-1.072504118,,1.24634E-06,
1520.02,-45.49841309,-47.74584198,-42.39553958,-3.10287351,-5.350302404,-1.072504118,,,
1520.03,-45.49841309,-47.74584198,-42.39553958,-3.10287351,-5.350302404,-1.072504118,,,
1520.04,-45.49841309,-47.74584198,-42.39553958,-3.10287351,-5.350302404,-1.072504118,,,
1520.05,-45.49841309,-47.74584198,-42.39553958,-3.10287351,-5.350302404,-1.072504118,,,
1520.06,-45.49841309,-47.74584198,-42.39553958,-3.10287351,-5.350302404,-1.072504118,,,
1520.07,-45.49841309,-47.74584198,-42.39553958,-3.10287351,-5.350302404,-1.072504118,,,
1520.08,-45.49841309,-47.74584198,-42.39553958,-3.10287351,-5.350302404,-1.072504118,,,
1520.09,-45.49841309,-47.74584198,-42.39553958,-3.10287351,-5.350302404,-1.072504118,,,
1520.1,-45.43274689,-47.89249802,-42.46286517,-2.969881719,-5.429632848,-1.017592533,,,
1520.11,-45.38708496,-47.975914,-42.36636859,-3.020716375,-5.609545415,-1.114720966,,,
1520.12,-45.2351265,-48.06386948,-42.52938586,-2.705740636,-5.534483617,-0.883461845,,,
1520.13,-45.1591835,-48.18204498,-42.60527926,-2.553904241,-5.576765721,-0.797174789,,,
1520.14,-45.12889481,-48.24966812,-42.51866275,-2.610232061,-5.731005376,-0.885832571,,,
1520.15,-45.21234131,-48.36816406,-42.58118563,-2.631155675,-5.786978429,-0.918210922,,,
1520.16,-45.05226135,-48.35165787,-42.5444234,-2.507837957,-5.807234471,-0.841168705,,,
1520.17,-45.11062622,-48.47821808,-42.58598834,-2.524637883,-5.892229741,-0.87958702,,,
1520.18,-45.06863403,-48.54955292,-42.63422137,-2.434412664,-5.915331548,-0.824776595,,,
1520.19,-44.889534,-48.59737015,-42.5088666,-2.380667394,-6.088503545,-0.840049252,,,
1520.2,-44.76470947,-48.58469772,-42.49517184,-2.269537633,-6.089525884,-0.762110844,,,
1520.21,-44.61217117,-48.58818054,-42.36462146,-2.247549718,-6.223559087,-0.785300315,,,
1520.22,-44.53147507,-48.61741638,-42.41095477,-2.120520299,-6.206461614,-0.68941453,,,
1520.23,-44.46435928,-48.71537018,-42.39317065,-2.071188634,-6.322199529,-0.685793634,,,
1520.24,-44.35035706,-48.76258087,-42.28315097,-2.06720609,-6.479429906,-0.725251484,,,
1520.25,-44.27763748,-48.8547821,-42.23150378,-2.046133702,-6.623278325,-0.747410311,,,
1520.26,-44.19892883,-48.96061707,-41.97596865,-2.222960179,-6.984648412,-0.971189776,,,
1520.27,-44.18800735,-49.09762192,-42.13489276,-2.053114598,-6.962729161,-0.83791644,,,
1520.28,-43.88769913,-49.1856308,-41.99983721,-1.887861913,-7.185793584,-0.764287319,,,
1520.29,-43.9287796,-49.37081528,-42.18808871,-1.740690892,-7.182726567,-0.649547324,,,
1520.3,-43.91169739,-49.53489685,-42.09012347,-1.821573918,-7.444773381,-0.770031273,,,
1520.31,-43.91871643,-49.67004395,-42.10797625,-1.810740178,-7.562067693,-0.786433352,,,
1520.32,-43.85626984,-49.8701973,-42.02823764,-1.828032201,-7.841959661,-0.85759676,,,
1520.33,-43.87243652,-50.03934479,-41.97904711,-1.893389409,-8.060297673,-0.953159289,,,
1520.34,-43.66957092,-50.16919708,-42.01690417,-1.652666753,-8.152292913,-0.775237973,,,
1520.35,-43.59490967,-50.34505463,-41.8714078,-1.723501866,-8.473646825,-0.890834651,,,
1520.36,-43.60448837,-50.55195999,-41.91044741,-1.694040959,-8.641512578,-0.895161852,,,
1520.37,-43.5123291,-50.60258865,-41.74431735,-1.768011754,-8.858271306,-0.992798346,,,
1520.38,-43.59282303,-50.71429443,-41.73826342,-1.854559606,-8.976031011,-1.084433259,,,
1520.39,-43.61443329,-50.7898941,-41.82326632,-1.791166967,-8.966627782,-1.029768091,,,
