wav,TE0,TE1,ref
1520,-41.44285202,-50.39585876,-41.45355606
1520.01,-41.44285202,-50.39585876,-41.45355606
1520.02,-41.44285202,-50.39585876,-41.45355606
1520.03,-41.44285202,-50.39585876,-41.45355606
1520.04,-41.44285202,-50.39585876,-41.45355606
1520.05,-41.44285202,-50.39585876,-41.45355606
1520.06,-41.44285202,-50.39585876,-41.45355606
1520.07,-41.44285202,-50.39585876,-41.45355606
1520.08,-41.44285202,-50.39585876,-41.45355606
1520.09,-41.44285202,-50.39585876,-41.45355606
1520.1,-41.41792297,-50.1824646,-41.69217682
1520.11,-41.39023209,-49.95314026,-41.62577057
1520.12,-41.26037216,-49.71119308,-41.75024033
1520.13,-41.2467041,-49.56594467,-41.73805618
1520.14,-41.33517075,-49.46316147,-41.56435394
1520.15,-41.21037292,-49.1757431,-41.52288055
1520.16,-41.29315186,-49.0214386,-41.58382416
1520.17,-41.40925598,-48.8771553,-41.45401001
1520.18,-41.4227066,-48.71202087,-41.51506424
1520.19,-41.41917038,-48.60570526,-41.44097519
1520.2,-41.49700165,-48.46983337,-41.4064827
1520.21,-41.592659,-48.26190948,-41.32194901
1520.22,-41.64008713,-48.1496582,-41.22534561
1520.23,-41.83310699,-47.96791458,-41.17041016
1520.24,-42.02163696,-47.97246552,-41.20544052
1520.25,-42.2062912,-47.82538223,-41.25349426
1520.26,-42.22325516,-47.50045013,-41.19221497
1520.27,-42.38725662,-47.30693817,-41.22266006
1520.28,-42.45287704,-47.03921509,-41.17997742
1520.29,-42.55334854,-46.94235992,-41.13436127
1520.3,-42.80744171,-46.85235596,-41.01002502
1520.31,-42.95432663,-46.80990982,-41.10464859
1520.32,-43.2233429,-46.56888962,-41.11843491
1520.33,-43.36711884,-46.36888504,-41.06061554
1520.34,-43.4679718,-46.18319702,-41.22145462
1520.35,-43.71695328,-46.06967163,-41.23353958
1520.36,-43.8748436,-46.07065964,-41.27467346
1520.37,-44.06451416,-45.81651688,-41.4414444
1520.38,-44.18420029,-45.62034988,-41.51267624
