wav,n = 10,n = 20,n = 30,ref 10,ref 20,ref 30
1520,-50.25394058,-57.29530716,-66.99410248,-44.00748444,-42.51905441,-42.66485596
1520.01,-50.25394058,-57.29530716,-66.99410248,-44.00748444,-42.51905441,-42.66485596
1520.02,-50.25394058,-57.29530716,-66.99410248,-44.00748444,-42.51905441,-42.66485596
1520.03,-50.25394058,-57.29530716,-66.99410248,-44.00748444,-42.51905441,-42.66485596
1520.04,-50.25394058,-57.29530716,-66.99410248,-44.00748444,-42.51905441,-42.66485596
1520.05,-50.25394058,-57.29530716,-66.99410248,-44.00748444,-42.51905441,-42.66485596
1520.06,-50.25394058,-57.29530716,-66.99410248,-44.00748444,-42.51905441,-42.66485596
1520.07,-50.25394058,-57.29530716,-66.99410248,-44.00748444,-42.51905441,-42.66485596
1520.08,-50.25394058,-57.29530716,-66.99410248,-44.00748444,-42.51905441,-42.66485596
1520.09,-50.25394058,-57.29530716,-66.99410248,-44.00748444,-42.51905441,-42.66485596
1520.1,-50.25497055,-57.14283371,-66.90696716,-44.12657166,-42.47396469,-42.47011948
1520.11,-50.27586365,-57.00786591,-66.74612427,-44.07468414,-42.43771362,-42.3562851
1520.12,-50.27181244,-56.87821579,-66.65484619,-44.03912735,-42.26192474,-42.43255234
1520.13,-50.31896591,-56.81934738,-66.49141693,-44.00685883,-42.15336609,-42.52467728
1520.14,-50.35834122,-56.78945541,-66.37686157,-43.92005539,-42.06961823,-42.51855087
1520.15,-50.35267258,-56.76943588,-66.29623413,-43.87559128,-42.04585648,-42.58705521
1520.16,-50.35867691,-56.69313431,-66.20423889,-43.83495331,-41.90488815,-42.63199615
1520.17,-50.33615112,-56.6651535,-66.0792923,-43.87334061,-41.86262512,-42.5357132
1520.18,-50.32145309,-56.63421631,-65.90926361,-43.78372192,-41.90408707,-42.5496521
1520.19,-50.36522293,-56.60784912,-65.79125214,-43.72584152,-41.85721207,-42.55073166
1520.2,-50.40244293,-56.64348602,-65.69026947,-43.66074753,-41.84626007,-42.57739639
1520.21,-50.46528244,-56.69621277,-65.58590698,-43.63534546,-41.84386444,-42.74371338
1520.22,-50.52300644,-56.78436661,-65.54471588,-43.67292404,-41.74814606,-42.72088242
1520.23,-50.5028038,-56.88383865,-65.4967041,-43.62543869,-41.76791382,-42.70682144
1520.24,-50.42730331,-57.02888489,-65.47377777,-43.53910446,-41.88539886,-42.75924683
1520.25,-50.36910248,-57.1764946,-65.44552612,-43.52690506,-41.93195343,-42.6501236
1520.26,-50.42884445,-57.29676819,-65.4462204,-43.38593292,-41.88541794,-42.5921402
1520.27,-50.4915123,-57.39624405,-65.46912384,-43.48115158,-41.91910553,-42.50855255
1520.28,-50.52223587,-57.44737625,-65.45042419,-43.49077606,-41.62184143,-42.63030243
1520.29,-50.45194626,-57.59183121,-65.45714569,-43.40013885,-41.74407959,-42.6084938
1520.3,-50.38564301,-57.74869537,-65.4668045,-43.2404747,-41.71214294,-42.8059845
1520.31,-50.28278351,-57.92272568,-65.54840088,-43.18009186,-41.80670166,-42.83657455
1520.32,-50.17307281,-58.09378052,-65.65287781,-43.0159874,-41.80703354,-42.6908989
1520.33,-50.11701965,-58.21153259,-65.78002167,-42.95155716,-41.96332169,-42.67034912
1520.34,-50.05302811,-58.25543213,-65.85403442,-42.83327866,-41.85156631,-42.71503067
1520.35,-50.0635643,-58.33521652,-65.93569946,-42.72296143,-41.74343109,-42.76965714
1520.36,-50.03094101,-58.49412537,-65.91980743,-42.66342926,-41.84662247,-42.51643372
1520.37,-50.08192444,-58.64476013,-65.99233246,-42.45832825,-41.96173859,-42.50706482
1520.38,-50.11978912,-58.80250931,-66.09970856,-42.50613403,-41.93572617,-42.51566696
1520.39,-50.12847519,-58.8908577,-66.20522308,-42.51854706,-41.91022491,-42.62851715
1520.4,-50.11800385,-58.91829681,-66.3150177,-42.59508514,-41.83358765,-42.69646454
1520.41,-50.08939743,-58.94174957,-66.37316132,-42.60277939,-41.87726212,-42.63256836
1520.42,-50.08092117,-58.90898132,-66.38322449,-42.63526154,-41.97801971,-42.61640167
1520.43,-50.05041122,-58.86475754,-66.37332916,-42.6423378,-41.99254227,-42.54831314
1520.44,-50.14640808,-58.70479584,-66.34989166,-42.69471359,-41.7983551,-42.44063187
1520.45,-50.17061996,-58.59985733,-66.36244965,-42.75602341,-41.83582687,-42.40561295
1520.46,-50.16851807,-58.47648621,-66.35279846,-42.87958908,-41.78919983,-42.49993134
1520.47,-50.17406464,-58.32714462,-66.34282684,-42.93526077,-41.74298859,-42.49141693
1520.48,-50.20250702,-58.20589447,-66.38986206,-42.9080162,-41.91923904,-42.61183548
1520.49,-50.25901794,-58.06698227,-66.42020416,-42.97985077,-41.95651245,-42.6026535
1520.5,-50.28549957,-57.91394806,-66.44335175,-43.01807785,-42.04386139,-42.47800827
1520.51,-50.40568542,-57.7859993,-66.45307159,-43.16672516,-42.06334305,-42.65874863
1520.52,-50.55728149,-57.66890717,-66.39930725,-43.35307312,-42.14106369,-42.73896408
1520.53,-50.62173462,-57.50984192,-66.38202667,-43.35185242,-42.01978302,-42.67257309
1520.54,-50.69271851,-57.47738266,-66.33580017,-43.55516052,-42.32429504,-42.46658325
1520.55,-50.72624588,-57.38154221,-66.29402161,-43.52245331,-42.48873138,-42.38276672
1520.56,-50.80413437,-57.12027359,-66.30262756,-43.6241188,-42.31064224,-42.43579865
1520.57,-50.76895142,-56.96155548,-66.27629089,-43.73507309,-42.29743576,-42.4544754
1520.58,-50.74436569,-56.76805878,-66.2447052,-43.83106232,-42.18682098,-42.43371201
1520.59,-50.73338699,-56.58205032,-66.12254333,-43.73451996,-42.17272949,-42.25922775
1520.6,-50.77737427,-56.36354828,-66.06704712,-43.73489761,-42.12651443,-42.2829895
1520.61,-50.78942871,-56.2059021,-65.9485321,-43.74963379,-42.10644913,-42.0899353
1520.62,-50.80918503,-56.00775909,-65.89729309,-43.68343735,-41.74438095,-42.15873337
1520.63,-50.89199066,-55.87606049,-65.84409332,-43.80572891,-41.75108337,-42.16107178
1520.64,-50.85635376,-55.78639984,-65.80132294,-43.72635651,-41.79851532,-42.31896973
1520.65,-50.80234528,-55.60428619,-65.70454407,-43.74869537,-41.75309753,-42.30489349
1520.66,-50.77242279,-55.47948837,-65.59770203,-43.60548401,-41.83345795,-42.28022003
1520.67,-50.73736572,-55.39763641,-65.5824585,-43.61616516,-41.78798676,-42.32874298
1520.68,-50.74934769,-55.35321426,-65.44128418,-43.5954361,-41.79207993,-42.16347885
1520.69,-50.68162537,-55.32299042,-65.36705017,-43.43773651,-41.70640564,-42.27093887
1520.7,-50.74050903,-55.3367691,-65.23174286,-43.49630356,-41.72047424,-42.37368393
1520.71,-50.73736572,-55.34668732,-65.11206818,-43.37228775,-41.67064285,-42.34797287
1520.72,-50.72729492,-55.33999634,-65.00791931,-43.48192596,-41.69715118,-42.37550354
1520.73,-50.7057724,-55.35931778,-64.8877182,-43.42686844,-41.73617554,-42.31143188
1520.74,-50.69906616,-55.35052109,-64.86491394,-43.41569519,-41.67317581,-42.55670166
1520.75,-50.69857788,-55.39320374,-64.77248383,-43.48654938,-41.70804596,-42.5019722
1520.76,-50.61485291,-55.52817535,-64.75950623,-43.23360062,-41.83348083,-42.62948227
1520.77,-50.58652496,-55.61860657,-64.74262238,-43.20922852,-41.90853119,-42.59481812
