wav,n10,n20,n30,ref 10,ref 20,ref 30
1520,-67.41910553,-65.58327484,-70.03343964,-41.92118073,-42.43281555,-42.0069313
1520.01,-67.41910553,-65.58327484,-70.03343964,-41.92118073,-42.43281555,-42.0069313
1520.02,-67.41910553,-65.58327484,-70.03343964,-41.92118073,-42.43281555,-42.0069313
1520.03,-67.41910553,-65.58327484,-70.03343964,-41.92118073,-42.43281555,-42.0069313
1520.04,-67.41910553,-65.58327484,-70.03343964,-41.92118073,-42.43281555,-42.0069313
1520.05,-67.41910553,-65.58327484,-70.03343964,-41.92118073,-42.43281555,-42.0069313
1520.06,-67.41910553,-65.58327484,-70.03343964,-41.92118073,-42.43281555,-42.0069313
1520.07,-67.41910553,-65.58327484,-70.03343964,-41.92118073,-42.43281555,-42.0069313
1520.08,-67.41910553,-65.58327484,-70.03343964,-41.92118073,-42.43281555,-42.0069313
1520.09,-67.41910553,-65.58327484,-70.03343964,-41.92118073,-42.43281555,-42.0069313
1520.1,-67.34376526,-65.47116089,-69.96551514,-41.95373917,-42.36280441,-41.9411087
1520.11,-67.22201538,-65.32622528,-69.9272995,-41.95448303,-42.35614014,-41.84641266
1520.12,-67.28458405,-65.23918915,-69.87871552,-41.93799591,-42.40939331,-41.82686234
1520.13,-67.28780365,-65.11225128,-69.88394165,-41.95578766,-42.38119507,-41.73636246
1520.14,-67.36194611,-64.93305969,-69.92128754,-41.89667511,-42.42088318,-41.63886642
1520.15,-67.30474854,-64.87043762,-69.90682983,-41.9400444,-42.38298798,-41.61170578
1520.16,-67.22943115,-64.7952652,-70.00698853,-41.97906494,-42.6065712,-41.5934639
1520.17,-67.13907623,-64.77493286,-70.16364288,-41.9317627,-42.60518265,-41.48480988
1520.18,-67.10131073,-64.80548859,-70.36598969,-41.95311356,-42.78982162,-41.55448914
1520.19,-67.01528931,-64.82997894,-70.56776428,-42.02572632,-42.87628937,-41.48963547
1520.2,-66.92082214,-64.85409546,-70.82512665,-42.10704422,-42.96334839,-41.52621841
1520.21,-66.83694458,-64.80318451,-70.9800415,-42.12557983,-42.80115509,-41.68926239
1520.22,-66.78132629,-64.81646729,-71.18054199,-42.13505554,-42.7720108,-41.59910965
1520.23,-66.78606415,-64.84868622,-71.2251358,-41.92748642,-42.97367096,-41.37799454
1520.24,-66.84212494,-64.90234375,-71.28337097,-41.87709045,-42.95598602,-41.41092682
1520.25,-66.95055389,-64.98433685,-71.37838745,-41.83835983,-42.98603439,-41.31153107
1520.26,-67.0850296,-65.03606415,-71.26087189,-41.85957718,-42.92711639,-41.27209091
1520.27,-67.18839264,-65.08636475,-71.34576416,-41.71089935,-42.87123871,-41.35528946
1520.28,-67.27085876,-65.11168671,-71.26189423,-41.67754364,-42.8113327,-41.43828583
1520.29,-67.37911224,-65.18205261,-71.17159271,-41.5982666,-42.92749023,-41.44446564
1520.3,-67.45915985,-65.22792053,-71.07745361,-41.56118774,-42.86775208,-41.45380402
1520.31,-67.61940002,-65.32730103,-70.88047791,-41.63806152,-42.86519623,-41.37649918
1520.32,-67.70311737,-65.39705658,-70.79677582,-41.63907242,-42.92164612,-41.28225327
1520.33,-67.8984375,-65.44728851,-70.62391663,-41.75910187,-42.72104645,-41.3834343
1520.34,-68.0355072,-65.64108276,-70.56878662,-41.80973816,-42.80445099,-41.44524765
1520.35,-68.1831665,-65.69374847,-70.61437988,-41.8040657,-42.79883575,-41.33827972
1520.36,-68.38310242,-65.84864807,-70.55289459,-41.84659576,-42.72097397,-41.37945557
1520.37,-68.6395874,-65.98044586,-70.46710968,-41.96263885,-42.56501007,-41.36129761
1520.38,-69.01641083,-66.10085297,-70.37316895,-41.95216751,-42.55535126,-41.37351227
1520.39,-69.38818359,-66.25198364,-70.23334503,-41.87903976,-42.30430603,-41.4992218
1520.4,-69.79202271,-66.3572464,-70.19636536,-41.98452759,-42.18018341,-41.51228333
1520.41,-70.08301544,-66.60457611,-70.12969971,-41.89187241,-42.31126022,-41.30884552
1520.42,-70.31040192,-66.7183609,-70.07138824,-41.98257446,-42.21034241,-41.36231995
1520.43,-70.50184631,-66.83194733,-70.02854919,-42.11267853,-42.10944748,-41.588974
1520.44,-70.63883209,-66.89391327,-69.97480774,-42.28625107,-42.09593964,-41.622612
1520.45,-70.68354034,-66.93453979,-69.95316315,-42.17759323,-42.06744003,-41.81571198
1520.46,-70.65042114,-66.98464203,-70.03766632,-42.19738007,-41.97674179,-41.89770889
1520.47,-70.6261673,-66.98577118,-70.08058929,-42.15712738,-42.11005402,-41.96654892
1520.48,-70.54457092,-67.02374268,-70.20478058,-42.05225372,-42.05199814,-42.00236893
1520.49,-70.59030151,-67.01998901,-70.33837128,-42.15692902,-41.90499878,-42.25600433
1520.5,-70.61138153,-67.0785141,-70.48779297,-42.10014343,-41.99944305,-42.22806549
1520.51,-70.65174103,-67.18011475,-70.69559479,-42.07923889,-41.90152359,-42.39023972
1520.52,-70.68526459,-67.27684021,-70.82975769,-41.96800232,-42.00094223,-42.4899292
1520.53,-70.72180176,-67.43630219,-71.05123901,-41.86750793,-42.17219162,-42.22580338
1520.54,-70.8813858,-67.55278778,-71.18458557,-41.87341309,-42.20217896,-42.20268631
1520.55,-71.03231812,-67.66366577,-71.25040436,-41.91233444,-42.07634354,-42.18696976
1520.56,-71.365448,-67.78935242,-71.41706848,-41.96257019,-42.11914825,-42.14563751
1520.57,-71.44012451,-67.88162231,-71.53102875,-41.81800842,-42.07936859,-42.00460434
1520.58,-71.47289276,-67.9802475,-71.62418365,-41.92855453,-41.98407745,-42.00036621
1520.59,-71.43968201,-68.04142761,-71.76663208,-41.89033508,-42.13499451,-41.72761536
1520.6,-71.4441452,-68.06027985,-71.79213715,-41.86956024,-42.09365082,-41.69348145
1520.61,-71.54768372,-68.04056549,-71.95219421,-42.00141525,-41.97473145,-41.75808334
1520.62,-71.62436676,-67.95560455,-72.12850952,-42.07582474,-41.96206284,-41.71022797
1520.63,-71.66738129,-67.96357727,-72.31642151,-42.0614624,-41.96191788,-41.60838699
1520.64,-71.64750671,-67.91663361,-72.49237061,-42.00872803,-41.79102325,-41.50081253
1520.65,-71.66246033,-67.94833374,-72.61513519,-42.19567871,-41.91347504,-41.41351318
1520.66,-71.69879913,-67.9356842,-72.68881226,-42.08771896,-42.04986191,-41.28728485
1520.67,-71.7098465,-67.93271637,-72.70152283,-42.33677292,-41.86002731,-41.28722763
1520.68,-71.73031616,-67.94154358,-72.55036163,-42.28219223,-41.99119568,-41.25764465
1520.69,-71.58849335,-67.8988266,-72.41860199,-42.25902939,-42.02727127,-41.06618881
1520.7,-71.48300934,-67.93653107,-72.19468689,-42.16822815,-42.03620529,-41.09399033
1520.71,-71.23039246,-67.87563324,-71.9222641,-42.09590149,-42.09848404,-40.99571609
1520.72,-70.95896912,-67.89289856,-71.76392365,-42.13167572,-42.05095673,-40.99156952
1520.73,-70.639534,-67.91423798,-71.38287354,-41.88734055,-42.08358765,-41.08336258
1520.74,-70.36752319,-67.88775635,-71.07461548,-41.83340454,-42.07106018,-41.13321686
1520.75,-70.05344391,-67.86901093,-70.73482513,-41.64189911,-42.16477966,-41.2149086
1520.76,-69.89725494,-67.65501404,-70.41434479,-41.61297226,-42.02879333,-41.20054626
1520.77,-69.82064056,-67.54655457,-70.20680237,-41.70945358,-42.24694824,-41.2946701
1520.78,-69.76254272,-67.30635071,-69.95611572,-41.59645081,-42.27036285,-41.19701004
1520.79,-69.741539,-67.12589264,-69.79682922,-41.70943451,-42.31867218,-41.3600235
1520.8,-69.73176575,-66.95418549,-69.62504578,-41.63975143,-42.37786865,-41.29992676
1520.81,-69.74597168,-66.78656006,-69.43547821,-41.7514801,-42.21601105,-41.33116913
1520.82,-69.76902771,-66.78084564,-69.29654694,-41.69203568,-42.24337387,-41.24308014
1520.83,-69.77373505,-66.70191193,-69.14116669,-41.76174164,-42.16859055,-41.28622818
1520.84,-69.70059967,-66.6770401,-69.07481384,-41.81260681,-42.40783691,-41.34334183
1520.85,-69.57050323,-66.52937317,-69.01668549,-41.81108093,-42.16270828,-41.38910294
1520.86,-69.41299438,-66.41964722,-69.0005188,-41.93861771,-42.06031418,-41.54621506
1520.87,-69.2698288,-66.38287354,-69.0185318,-41.87244034,-42.01568604,-41.45236969
1520.88,-69.14417267,-66.34805298,-69.10671997,-41.96231079,-41.87522125,-41.44838715
1520.89,-69.08573151,-66.37833405,-69.22521973,-42.01700974,-41.84046173,-41.48000336
1520.9,-69.0158844,-66.33322906,-69.37224579,-42.06425476,-41.6584053,-41.52412796
1520.91,-69.03668976,-66.33802032,-69.55298615,-42.06443787,-41.66452789,-41.56213379
1520.92,-69.02431488,-66.30501556,-69.71311188,-41.79452515,-41.61567688,-41.50537491
1520.93,-69.11017609,-66.23505402,-70.01628113,-42.0033493,-41.53593445,-41.58199692
1520.94,-69.13674164,-66.1989212,-70.33089447,-41.8691864,-41.50232697,-41.54083252
1520.95,-69.21917725,-66.12191772,-70.69140625,-41.88420105,-41.37589645,-41.56419373
1520.96,-69.18562317,-66.17034149,-71.08690643,-41.87249374,-41.51247787,-41.54822159
1520.97,-69.10303497,-66.17812347,-71.42018127,-41.61130142,-41.36906433,-41.51828003
1520.98,-69.09721375,-66.21234894,-71.83745575,-41.61862564,-41.383358,-41.64217377
1520.99,-68.99504852,-66.19906616,-72.15538788,-41.46363449,-41.27327347,-41.64134979
1521,-68.94255066,-66.17273712,-72.50912476,-41.51761627,-41.29889297,-41.68989563
1521.01,-68.85540771,-66.16777039,-72.97111511,-41.35581589,-41.42050171,-41.63350677
1521.02,-68.80397797,-66.11445618,-73.3731842,-41.23813629,-41.45896149,-41.69902039
1521.03,-68.83235168,-66.04789734,-73.860466,-41.30370712,-41.68159866,-41.6528244
1521.04,-68.881073,-65.99733734,-74.08998871,-41.22054672,-41.49307251,-41.68782043
1521.05,-69.03712463,-65.99620056,-74.16796112,-41.22641754,-41.6235733,-41.55677414
1521.06,-69.14266968,-66.00875092,-74.04067993,-41.11170197,-41.63159943,-41.39836502
1521.07,-69.20941162,-65.91486359,-73.70491791,-41.13973236,-41.67345047,-41.34809494
1521.08,-69.1631012,-65.85014343,-73.51222229,-41.16069031,-41.76682281,-41.30411911
